"","x"
"1","TR236|c0_g1"
"2","TR19907|c3_g1"
"3","TR16065|c1_g1"
"4","TR6568|c6_g2"
"5","TR33284|c0_g1"
"6","TR2380|c0_g2"
"7","TR11031|c4_g4"
"8","TR6559|c1_g3"
"9","TR30786|c10_g1"
"10","TR31213|c1_g1"
"11","TR32382|c0_g1"
"12","TR36435|c7_g4"
"13","TR18190|c5_g1"
"14","TR23720|c0_g1"
"15","TR2403|c0_g1"
"16","TR26378|c0_g1"
"17","TR20801|c0_g1"
"18","TR17915|c6_g2"
"19","TR36363|c13_g1"
"20","TR14512|c0_g1"
"21","TR15926|c25_g1"
"22","TR36445|c1_g1"
"23","TR38260|c1_g1"
"24","TR25587|c0_g1"
"25","TR8471|c2_g1"
"26","TR29191|c4_g2"
"27","TR13693|c5_g1"
"28","TR14163|c1_g2"
"29","TR26464|c2_g2"
"30","TR10109|c6_g1"
"31","TR28427|c0_g1"
"32","TR21721|c2_g2"
"33","TR158|c0_g1"
"34","TR13211|c2_g1"
"35","TR15307|c5_g1"
"36","TR29102|c2_g1"
"37","TR6777|c2_g1"
"38","TR34095|c3_g2"
"39","TR17826|c2_g2"
"40","TR13751|c5_g3"
"41","TR7850|c0_g2"
"42","TR30585|c0_g1"
"43","TR31323|c0_g1"
"44","TR10989|c1_g1"
"45","TR22264|c0_g1"
"46","TR7729|c1_g1"
"47","TR36221|c5_g3"
"48","TR26448|c9_g2"
"49","TR34833|c5_g1"
"50","TR21302|c0_g1"
"51","TR18143|c1_g2"
"52","TR29182|c1_g1"
"53","TR19602|c0_g1"
"54","TR11049|c6_g3"
"55","TR10649|c0_g1"
"56","TR9276|c1_g1"
"57","TR11023|c0_g2"
"58","TR37007|c10_g1"
"59","TR34907|c0_g1"
"60","TR26449|c0_g2"
"61","TR26448|c6_g2"
"62","TR36182|c8_g1"
"63","TR25530|c0_g1"
"64","TR31268|c7_g3"
"65","TR19913|c0_g1"
"66","TR32665|c0_g1"
"67","TR32526|c1_g3"
"68","TR20554|c0_g1"
"69","TR34796|c4_g1"
"70","TR1404|c1_g1"
"71","TR32288|c0_g1"
"72","TR22087|c0_g1"
"73","TR23976|c2_g2"
"74","TR17915|c2_g2"
"75","TR2305|c0_g1"
"76","TR2801|c0_g1"
"77","TR15227|c1_g1"
"78","TR599|c2_g1"
"79","TR2743|c0_g2"
"80","TR26181|c0_g1"
"81","TR7330|c0_g1"
"82","TR7255|c1_g1"
"83","TR2201|c4_g1"
"84","TR9217|c6_g1"
"85","TR17950|c0_g2"
"86","TR22406|c0_g2"
"87","TR1483|c9_g1"
"88","TR32149|c1_g4"
"89","TR14633|c1_g1"
"90","TR32157|c0_g3"
"91","TR28014|c1_g1"
"92","TR23379|c7_g1"
"93","TR13052|c0_g1"
"94","TR23900|c5_g2"
"95","TR8470|c8_g1"
"96","TR5027|c1_g1"
"97","TR19219|c0_g1"
"98","TR11017|c4_g1"
"99","TR23985|c3_g1"
"100","TR6438|c8_g1"
"101","TR30872|c2_g1"
"102","TR24041|c2_g1"
"103","TR22046|c0_g1"
"104","TR10971|c3_g2"
"105","TR1043|c0_g1"
"106","TR22266|c0_g1"
"107","TR23214|c0_g2"
"108","TR15978|c3_g1"
"109","TR8471|c6_g2"
"110","TR17411|c0_g1"
"111","TR19693|c0_g1"
"112","TR9026|c2_g2"
"113","TR32269|c9_g2"
"114","TR17936|c0_g1"
"115","TR1046|c0_g1"
"116","TR32154|c0_g1"
"117","TR21769|c1_g1"
"118","TR1422|c0_g2"
"119","TR32536|c2_g2"
"120","TR323|c0_g1"
"121","TR2805|c7_g1"
"122","TR10144|c0_g1"
"123","TR17818|c1_g1"
"124","TR9225|c5_g2"
"125","TR34770|c0_g2"
"126","TR7745|c0_g2"
"127","TR32623|c0_g1"
"128","TR10943|c1_g1"
"129","TR7020|c0_g1"
"130","TR31618|c0_g1"
"131","TR9904|c5_g2"
"132","TR25570|c2_g3"
"133","TR32232|c3_g1"
"134","TR48|c0_g1"
"135","TR5068|c0_g1"
"136","TR28059|c2_g1"
"137","TR4014|c0_g2"
