"","x"
"1","TR236|c0_g1"
"2","TR27770|c0_g1"
"3","TR19907|c3_g1"
"4","TR16065|c1_g1"
"5","TR6568|c6_g2"
"6","TR33284|c0_g1"
"7","TR2380|c0_g2"
"8","TR14643|c0_g3"
"9","TR11031|c4_g4"
"10","TR6559|c1_g3"
"11","TR30786|c10_g1"
"12","TR31213|c1_g1"
"13","TR32382|c0_g1"
"14","TR36435|c7_g4"
"15","TR18190|c5_g1"
"16","TR7207|c1_g1"
"17","TR23720|c0_g1"
"18","TR2403|c0_g1"
"19","TR15961|c3_g4"
"20","TR26378|c0_g1"
"21","TR20801|c0_g1"
"22","TR17915|c6_g2"
"23","TR36363|c13_g1"
"24","TR14512|c0_g1"
"25","TR15926|c25_g1"
"26","TR36445|c1_g1"
"27","TR38260|c1_g1"
"28","TR25587|c0_g1"
"29","TR8471|c2_g1"
"30","TR29191|c4_g2"
"31","TR13693|c5_g1"
"32","TR14163|c1_g2"
"33","TR26464|c2_g2"
"34","TR10109|c6_g1"
"35","TR28427|c0_g1"
"36","TR21721|c2_g2"
"37","TR158|c0_g1"
"38","TR13211|c2_g1"
"39","TR15307|c5_g1"
"40","TR29102|c2_g1"
"41","TR34766|c2_g2"
"42","TR6777|c2_g1"
"43","TR34095|c3_g2"
"44","TR10160|c13_g1"
"45","TR17826|c2_g2"
"46","TR13751|c5_g3"
"47","TR7850|c0_g2"
"48","TR30585|c0_g1"
"49","TR31323|c0_g1"
"50","TR10989|c1_g1"
"51","TR22264|c0_g1"
"52","TR7729|c1_g1"
"53","TR36221|c5_g3"
"54","TR26448|c9_g2"
"55","TR34833|c5_g1"
"56","TR21302|c0_g1"
"57","TR18143|c1_g2"
"58","TR29182|c1_g1"
"59","TR19602|c0_g1"
"60","TR11049|c6_g3"
"61","TR10649|c0_g1"
"62","TR35352|c0_g1"
"63","TR9276|c1_g1"
"64","TR11023|c0_g2"
"65","TR37007|c10_g1"
"66","TR34907|c0_g1"
"67","TR26449|c0_g2"
"68","TR26448|c6_g2"
"69","TR36182|c8_g1"
"70","TR25530|c0_g1"
"71","TR31268|c7_g3"
"72","TR19913|c0_g1"
"73","TR32665|c0_g1"
"74","TR32526|c1_g3"
"75","TR9472|c1_g5"
"76","TR20554|c0_g1"
"77","TR34796|c4_g1"
"78","TR1404|c1_g1"
"79","TR32288|c0_g1"
"80","TR22087|c0_g1"
"81","TR23976|c2_g2"
"82","TR17915|c2_g2"
"83","TR2305|c0_g1"
"84","TR2801|c0_g1"
"85","TR15227|c1_g1"
"86","TR599|c2_g1"
"87","TR2743|c0_g2"
"88","TR26181|c0_g1"
"89","TR7330|c0_g1"
"90","TR7255|c1_g1"
"91","TR2201|c4_g1"
"92","TR9217|c6_g1"
"93","TR17950|c0_g2"
"94","TR22406|c0_g2"
"95","TR1483|c9_g1"
"96","TR32149|c1_g4"
"97","TR6626|c1_g2"
"98","TR14633|c1_g1"
"99","TR27447|c0_g1"
"100","TR32157|c0_g3"
"101","TR28014|c1_g1"
"102","TR23379|c7_g1"
"103","TR13052|c0_g1"
"104","TR23900|c5_g2"
"105","TR8470|c8_g1"
"106","TR5027|c1_g1"
"107","TR19219|c0_g1"
"108","TR11017|c4_g1"
"109","TR23985|c3_g1"
"110","TR6438|c8_g1"
"111","TR30872|c2_g1"
"112","TR24041|c2_g1"
"113","TR22046|c0_g1"
"114","TR10971|c3_g2"
