"","x"
"1","TR236|c0_g1"
"2","TR27770|c0_g1"
"3","TR19907|c3_g1"
"4","TR16065|c1_g1"
"5","TR6568|c6_g2"
"6","TR33284|c0_g1"
"7","TR2380|c0_g2"
"8","TR14643|c0_g3"
"9","TR18143|c1_g2"
"10","TR29182|c1_g1"
"11","TR19602|c0_g1"
"12","TR11049|c6_g3"
"13","TR10649|c0_g1"
"14","TR35352|c0_g1"
"15","TR9276|c1_g1"
"16","TR11023|c0_g2"
"17","TR22082|c1_g1"
"18","TR2805|c7_g1"
"19","TR10144|c0_g1"
"20","TR17818|c1_g1"
"21","TR9225|c5_g2"
"22","TR34770|c0_g2"
"23","TR7745|c0_g2"
"24","TR34765|c8_g1"
"25","TR34776|c8_g1"
"26","TR23228|c1_g1"
"27","TR4453|c0_g1"
"28","TR38931|c5_g2"
"29","TR2563|c1_g1"
"30","TR28256|c0_g2"
"31","TR23875|c0_g1"
"32","TR13051|c0_g1"
"33","TR6569|c1_g1"
"34","TR22905|c1_g1"
"35","TR10170|c1_g2"
"36","TR998|c0_g1"
"37","TR1469|c2_g1"
"38","TR9944|c1_g1"
"39","TR38900|c9_g1"
"40","TR38941|c5_g1"
"41","TR15305|c6_g3"
"42","TR2188|c1_g4"
"43","TR6083|c6_g2"
"44","TR24003|c0_g5"
"45","TR9197|c0_g1"
"46","TR10160|c7_g2"
"47","TR23393|c5_g2"
"48","TR17881|c10_g1"
"49","TR9073|c7_g1"
"50","TR31900|c0_g1"
"51","TR38872|c0_g1"
"52","TR37057|c1_g1"
"53","TR8493|c0_g1"
"54","TR31445|c1_g1"
"55","TR27084|c0_g1"
"56","TR29897|c0_g1"
"57","TR9204|c6_g1"
"58","TR24864|c0_g1"
"59","TR38922|c3_g1"
"60","TR9895|c0_g1"
"61","TR22342|c4_g1"
"62","TR29861|c1_g1"
"63","TR25587|c0_g5"
"64","TR22044|c0_g2"
"65","TR25539|c7_g1"
"66","TR29127|c13_g1"
"67","TR9488|c12_g1"
"68","TR25599|c4_g1"
"69","TR15961|c4_g2"
"70","TR22702|c0_g1"
"71","TR18192|c0_g2"
"72","TR29170|c7_g1"
"73","TR18159|c0_g2"
"74","TR8454|c1_g2"
"75","TR18229|c4_g4"
"76","TR13568|c0_g1"
"77","TR31288|c0_g2"
"78","TR10154|c0_g2"
"79","TR10965|c0_g1"
"80","TR24869|c2_g2"
"81","TR27853|c0_g1"
"82","TR17738|c0_g2"
"83","TR24028|c1_g1"
"84","TR32239|c3_g1"
"85","TR30421|c1_g1"
"86","TR27404|c5_g1"
"87","TR14910|c0_g1"
"88","TR19056|c0_g1"
"89","TR2071|c9_g1"
"90","TR7870|c3_g1"
"91","TR23894|c4_g1"
"92","TR13670|c4_g3"
"93","TR27689|c0_g1"
"94","TR17967|c0_g2"
"95","TR25015|c1_g1"
"96","TR34046|c11_g1"
"97","TR23915|c0_g2"
"98","TR38321|c0_g1"
"99","TR32320|c6_g3"
"100","TR34840|c3_g1"
"101","TR27357|c3_g1"
"102","TR14976|c0_g1"
"103","TR10999|c1_g1"
"104","TR18004|c4_g1"
"105","TR7887|c0_g1"
"106","TR36364|c0_g2"
"107","TR14623|c0_g1"
"108","TR32231|c2_g3"
"109","TR1461|c7_g1"
"110","TR36977|c5_g1"
"111","TR17495|c0_g1"
"112","TR9200|c7_g1"
"113","TR9474|c0_g5"
"114","TR1493|c3_g1"
