"","x"
"187","TR2250|c0_g1"
"188","TR25603|c6_g1"
"189","TR22897|c2_g1"
"190","TR24033|c0_g5"
"191","TR26555|c0_g1"
"192","TR10974|c1_g2"
"193","TR30522|c1_g1"
"194","TR25514|c5_g2"
"195","TR37004|c1_g2"
"196","TR9494|c1_g1"
"197","TR1416|c1_g2"
"198","TR9480|c10_g1"
"199","TR7759|c0_g2"
"200","TR34307|c2_g2"
"201","TR20668|c0_g1"
"202","TR25607|c2_g2"
"203","TR6558|c13_g1"
"204","TR2490|c0_g2"
"205","TR20363|c0_g1"
"206","TR39134|c0_g1"
"207","TR37026|c2_g1"
"208","TR38531|c0_g1"
"209","TR24033|c0_g4"
"210","TR17372|c0_g1"
"211","TR6996|c0_g1"
"212","TR2916|c1_g1"
"213","TR30801|c0_g2"
"214","TR20670|c0_g1"
"215","TR32502|c2_g1"
"216","TR7381|c0_g1"
"217","TR19908|c2_g1"
"218","TR23994|c1_g3"
"219","TR29115|c16_g1"
"220","TR26383|c13_g2"
"221","TR28123|c0_g1"
"222","TR9494|c1_g2"
"223","TR13269|c1_g1"
"224","TR27514|c0_g1"
"225","TR2732|c6_g2"
"226","TR11943|c0_g1"
"227","TR37026|c0_g1"
"228","TR2270|c0_g1"
"229","TR27968|c0_g1"
"230","TR38931|c1_g2"
"231","TR38754|c0_g1"
"232","TR6536|c2_g1"
"233","TR3925|c12_g4"
"234","TR16005|c0_g1"
"235","TR17849|c3_g1"
"236","TR34798|c1_g1"
"237","TR27793|c0_g1"
"238","TR31744|c0_g1"
"239","TR2916|c0_g1"
"240","TR2490|c3_g1"
"241","TR24563|c0_g1"
"242","TR23905|c7_g3"
"243","TR5039|c12_g2"
"244","TR7322|c0_g2"
"245","TR19898|c5_g3"
"246","TR10129|c11_g2"
"247","TR8551|c10_g1"
"248","TR9438|c10_g1"
"249","TR14258|c0_g1"
"250","TR30871|c4_g1"
"251","TR3913|c8_g1"
"252","TR26466|c4_g1"
"253","TR10129|c11_g1"
"254","TR6582|c14_g1"
"255","TR21442|c0_g1"
"256","TR38931|c8_g1"
"257","TR21898|c0_g1"
"258","TR13704|c2_g4"
"259","TR13676|c0_g3"
"260","TR23886|c2_g2"
"261","TR26504|c0_g1"
"262","TR34044|c4_g2"
"263","TR31757|c0_g1"
"264","TR38931|c6_g1"
"265","TR32302|c5_g1"
"266","TR14621|c0_g1"
"267","TR23962|c15_g1"
"268","TR36486|c0_g1"
"269","TR6536|c5_g1"
"270","TR33347|c0_g1"
"271","TR24428|c1_g1"
"272","TR13327|c0_g1"
"273","TR32192|c9_g3"
"274","TR21657|c0_g1"
"275","TR7188|c2_g1"
"276","TR35074|c0_g2"
"277","TR10742|c0_g1"
"278","TR7337|c0_g1"
"279","TR21744|c5_g1"
"280","TR2146|c8_g1"
"281","TR6772|c0_g2"
"282","TR1403|c7_g1"
"283","TR17283|c0_g1"
"284","TR30080|c0_g1"
"285","TR9199|c0_g2"
"286","TR26931|c0_g1"
"287","TR308|c0_g1"
"288","TR13035|c0_g1"
"289","TR6569|c5_g1"
"290","TR7230|c0_g2"
"291","TR17506|c0_g1"
"292","TR22207|c0_g1"
"293","TR38973|c0_g2"
"294","TR308|c1_g1"
"295","TR16180|c0_g1"
"296","TR34904|c1_g1"
"297","TR5039|c10_g1"
"298","TR37817|c0_g1"
"299","TR14590|c0_g2"
"300","TR27033|c0_g1"
"301","TR3327|c0_g1"
"302","TR23091|c1_g1"
"303","TR31228|c0_g2"
"304","TR23685|c0_g1"
"305","TR13782|c0_g1"
"306","TR6772|c0_g1"
"307","TR37004|c1_g1"
"308","TR22314|c0_g1"
"309","TR10974|c1_g1"
"310","TR18227|c2_g1"
"311","TR32176|c3_g1"
"312","TR23922|c15_g1"
"313","TR10148|c5_g2"
"314","TR15951|c4_g2"
"315","TR37026|c0_g2"
"316","TR25830|c0_g1"
"317","TR34044|c4_g4"
"318","TR6089|c1_g1"
"319","TR19304|c1_g1"
"320","TR14612|c0_g1"
"321","TR37039|c1_g3"
"322","TR39096|c0_g1"
"323","TR23409|c0_g1"
"324","TR15184|c0_g1"
"325","TR2892|c2_g1"
"326","TR2490|c0_g1"
"327","TR13989|c0_g1"
"328","TR38966|c7_g1"
"329","TR21740|c4_g1"
"330","TR22897|c3_g2"
"331","TR35862|c0_g1"
"332","TR39112|c0_g1"
"333","TR14184|c0_g1"
"334","TR23319|c12_g1"
"335","TR1560|c0_g1"
"336","TR2797|c7_g1"
"337","TR26410|c5_g4"
"338","TR9202|c3_g1"
"339","TR21698|c12_g2"
"340","TR13350|c0_g1"
"341","TR36211|c2_g1"
"342","TR1671|c0_g1"
"343","TR2155|c2_g2"
"344","TR25607|c2_g1"
"345","TR5109|c5_g1"
"346","TR11442|c2_g1"
"347","TR13756|c0_g1"
"348","TR38416|c0_g1"
"349","TR12287|c0_g2"
"350","TR36743|c1_g1"
"351","TR37039|c1_g2"
"352","TR32302|c10_g1"
"353","TR22391|c1_g1"
"354","TR2490|c2_g1"
"355","TR34563|c0_g1"
"356","TR9039|c1_g1"
"357","TR19908|c3_g1"
"358","TR22897|c5_g1"
"359","TR7759|c6_g2"
"360","TR9438|c1_g1"
"361","TR35107|c0_g1"
"362","TR1470|c0_g2"
"363","TR26452|c0_g1"
"364","TR28473|c0_g1"
"365","TR13733|c2_g2"
"366","TR21744|c5_g2"
"367","TR36990|c3_g1"
"368","TR6626|c1_g3"
"369","TR36367|c1_g1"
"370","TR29829|c0_g1"
"371","TR30871|c3_g1"
"372","TR23683|c0_g2"
"373","TR15919|c7_g3"
"374","TR9437|c13_g1"
"375","TR23922|c14_g1"
"376","TR26592|c2_g1"
"377","TR28400|c0_g2"
"378","TR23925|c5_g1"
"379","TR32192|c10_g1"
"380","TR9199|c0_g1"
"381","TR7381|c1_g1"
"382","TR13675|c3_g2"
"383","TR21020|c0_g1"
"384","TR13217|c1_g1"
"385","TR9480|c9_g1"
"386","TR26466|c11_g1"
"387","TR12575|c0_g1"
"388","TR13678|c3_g1"
"389","TR30792|c2_g1"
"390","TR22304|c0_g1"
"391","TR22314|c0_g2"
"392","TR27085|c1_g1"
"393","TR39307|c0_g1"
"394","TR15718|c11_g1"
"395","TR14791|c0_g1"
"396","TR7723|c12_g3"
"397","TR34359|c0_g1"
"398","TR20834|c0_g1"
"399","TR27686|c0_g1"
"400","TR28473|c0_g2"
"401","TR34307|c2_g1"
"402","TR13676|c0_g1"
"403","TR17335|c0_g1"
"404","TR27449|c0_g1"
"405","TR9272|c8_g1"
"406","TR13756|c2_g1"
"407","TR13684|c7_g2"
