"","x"
"187","TR25062|c1_g1"
"188","TR32273|c5_g1"
"189","TR2775|c3_g1"
"190","TR34246|c1_g1"
"191","TR17399|c0_g1"
"192","TR2457|c1_g1"
"193","TR21716|c6_g1"
"194","TR36988|c3_g1"
"195","TR17452|c0_g1"
"196","TR14598|c0_g1"
"197","TR23984|c9_g1"
"198","TR32321|c0_g1"
"199","TR3872|c2_g1"
"200","TR27959|c0_g1"
"201","TR38889|c19_g1"
"202","TR22843|c0_g1"
"203","TR25537|c4_g1"
"204","TR22059|c1_g1"
"205","TR9970|c1_g1"
"206","TR38251|c1_g2"
"207","TR2785|c1_g2"
"208","TR10969|c1_g2"
"209","TR23935|c3_g1"
"210","TR2458|c0_g1"
"211","TR22853|c3_g2"
"212","TR1012|c0_g1"
"213","TR6546|c7_g1"
"214","TR17932|c1_g1"
"215","TR9425|c4_g1"
"216","TR10450|c0_g1"
"217","TR37755|c0_g1"
"218","TR19864|c0_g1"
"219","TR36760|c0_g1"
"220","TR23936|c2_g2"
"221","TR15088|c0_g2"
"222","TR15252|c0_g2"
"223","TR32309|c1_g1"
"224","TR1458|c3_g1"
"225","TR25537|c1_g1"
"226","TR38885|c3_g1"
"227","TR7954|c2_g1"
"228","TR18855|c1_g1"
"229","TR24860|c0_g1"
"230","TR9215|c4_g1"
"231","TR27404|c4_g3"
"232","TR7564|c0_g1"
"233","TR15982|c1_g2"
"234","TR22272|c0_g2"
"235","TR3270|c1_g1"
"236","TR23870|c2_g1"
"237","TR12520|c0_g1"
"238","TR34775|c3_g1"
"239","TR36554|c0_g1"
"240","TR27119|c0_g2"
"241","TR29110|c11_g1"
"242","TR35110|c0_g1"
"243","TR28712|c0_g3"
"244","TR27816|c0_g2"
"245","TR13607|c0_g2"
"246","TR13942|c0_g1"
"247","TR32287|c5_g2"
"248","TR14141|c0_g1"
"249","TR31286|c2_g2"
"250","TR20816|c0_g1"
"251","TR29148|c0_g1"
"252","TR1498|c1_g1"
"253","TR32158|c1_g2"
"254","TR9208|c0_g1"
"255","TR37055|c0_g1"
"256","TR6154|c0_g5"
"257","TR2887|c0_g1"
"258","TR6128|c2_g1"
"259","TR17550|c0_g1"
"260","TR38966|c4_g2"
"261","TR7952|c1_g1"
"262","TR21722|c0_g2"
"263","TR8495|c0_g3"
"264","TR13750|c10_g1"
"265","TR25062|c1_g2"
"266","TR14021|c0_g1"
"267","TR19187|c3_g1"
"268","TR15316|c0_g1"
"269","TR23319|c9_g1"
"270","TR13223|c0_g2"
"271","TR7598|c1_g1"
"272","TR12360|c0_g1"
"273","TR21897|c0_g1"
"274","TR7307|c1_g1"
"275","TR8484|c0_g1"
"276","TR23393|c5_g1"
"277","TR32528|c1_g1"
"278","TR9065|c5_g4"
"279","TR22302|c0_g1"
"280","TR9906|c1_g1"
"281","TR17886|c1_g1"
"282","TR13691|c6_g2"
"283","TR19222|c1_g1"
"284","TR29182|c2_g5"
"285","TR36382|c3_g2"
"286","TR23915|c0_g1"
"287","TR9982|c3_g3"
"288","TR7759|c4_g1"
"289","TR16968|c0_g1"
"290","TR5077|c7_g1"
"291","TR6166|c7_g1"
"292","TR2781|c4_g1"
"293","TR36348|c5_g1"
"294","TR14919|c0_g1"
"295","TR27643|c0_g1"
"296","TR23960|c3_g2"
"297","TR6811|c0_g1"
"298","TR2820|c0_g1"
"299","TR23914|c0_g2"
"300","TR21349|c0_g1"
"301","TR9244|c12_g2"
"302","TR19212|c0_g1"
"303","TR201|c0_g1"
"304","TR12684|c0_g1"
"305","TR9187|c2_g1"
"306","TR24029|c0_g1"
"307","TR7568|c0_g2"
"308","TR77|c0_g1"
"309","TR23942|c0_g2"
"310","TR19861|c13_g1"
"311","TR23942|c2_g3"
"312","TR18230|c5_g3"
"313","TR25142|c0_g2"
"314","TR17542|c0_g1"
"315","TR1815|c0_g1"
"316","TR12457|c0_g1"
"317","TR23873|c3_g1"
"318","TR37019|c3_g1"
"319","TR31865|c0_g1"
"320","TR11485|c0_g3"
"321","TR8229|c0_g1"
"322","TR21780|c0_g1"
"323","TR25575|c1_g1"
"324","TR2860|c1_g3"
"325","TR19818|c0_g1"
"326","TR11672|c0_g2"
"327","TR27238|c0_g1"
"328","TR7032|c0_g1"
"329","TR20969|c0_g1"
"330","TR7418|c0_g1"
"331","TR23936|c2_g5"
"332","TR30802|c0_g3"
"333","TR13149|c0_g1"
"334","TR25346|c0_g1"
"335","TR21367|c0_g2"
"336","TR13753|c1_g1"
"337","TR39415|c0_g1"
"338","TR9266|c5_g4"
"339","TR14957|c0_g4"
"340","TR32215|c6_g1"
"341","TR5048|c6_g1"
"342","TR36222|c22_g1"
"343","TR36366|c4_g1"
"344","TR29110|c15_g1"
"345","TR28407|c2_g1"
"346","TR15298|c0_g2"
"347","TR13607|c0_g1"
"348","TR29123|c5_g1"
"349","TR17856|c0_g1"
"350","TR29103|c0_g1"
"351","TR17388|c0_g3"
"352","TR6451|c0_g1"
"353","TR9078|c7_g1"
"354","TR23981|c6_g2"
"355","TR15740|c1_g1"
"356","TR7706|c8_g1"
"357","TR32151|c11_g1"
"358","TR29859|c0_g1"
"359","TR38152|c0_g1"
"360","TR26507|c0_g1"
"361","TR9061|c9_g1"
"362","TR7952|c1_g2"
"363","TR21808|c0_g1"
"364","TR24385|c0_g1"
"365","TR23289|c1_g1"
"366","TR9120|c6_g2"
"367","TR21367|c2_g1"
"368","TR3270|c0_g1"
"369","TR6481|c5_g1"
"370","TR31883|c1_g1"
"371","TR29132|c9_g1"
"372","TR15998|c0_g2"
"373","TR9061|c10_g2"
"374","TR23864|c5_g1"
"375","TR8295|c3_g1"
"376","TR32172|c1_g1"
"377","TR6560|c2_g4"
"378","TR23368|c2_g1"
"379","TR31217|c9_g1"
"380","TR30853|c2_g3"
"381","TR32165|c2_g3"
"382","TR1429|c0_g1"
"383","TR13336|c0_g1"
"384","TR24896|c0_g1"
"385","TR19239|c0_g1"
"386","TR30853|c2_g2"
"387","TR23902|c6_g3"
"388","TR38968|c0_g2"
"389","TR27822|c1_g1"
"390","TR14029|c0_g1"
"391","TR32472|c0_g1"
"392","TR3915|c1_g3"
"393","TR14610|c0_g1"
"394","TR17979|c0_g1"
"395","TR25571|c3_g2"
"396","TR36372|c5_g1"
"397","TR32594|c0_g2"
"398","TR7883|c2_g1"
"399","TR6607|c4_g1"
"400","TR10164|c0_g3"
"401","TR15751|c0_g1"
"402","TR6635|c5_g1"
"403","TR31879|c1_g3"
"404","TR27029|c1_g1"
"405","TR29182|c2_g1"
"406","TR38119|c0_g1"
"407","TR24581|c0_g1"
"408","TR21772|c2_g2"
"409","TR36435|c7_g7"
